App,Category,Rating,Reviews,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Size in MB
I Am Rich,FAMILY,3.6,217,10000,Paid,389.99,Everyone,Entertainment,22-06-2018,1.5,4.2 and up,4.9
I am Bread,GAME,4.0,630,10000,Paid,4.99,Everyone,Adventure,26-10-2016,1.6.1,4.4 and up,20.0
Where Am I At?,TRAVEL_AND_LOCAL,3.8,39,10000,Free,0.0,Everyone,Travel & Local,08-10-2016,1.2,4.1 and up,12.0
I am Rich,FINANCE,4.3,180,5000,Paid,399.99,Everyone,Finance,22-03-2018,1.0,4.2 and up,3.8
Where Am I? GPS Loc,TRAVEL_AND_LOCAL,4.6,68,10000,Free,0.0,Everyone,Travel & Local,14-11-2017,5.0,4.0.3 and up,4.2
I am Millionaire - Richest guy in the town,LIFESTYLE,3.6,126,5000,Paid,2.49,Everyone,Lifestyle,22-06-2018,8,4.1 and up,1.4
Coast To Coast AM Insider,NEWS_AND_MAGAZINES,3.9,4581,100000,Free,0.0,Everyone,News & Magazines,04-01-2018,5.0.108,4.4 and up,21.0
I AM RICH PRO PLUS,FINANCE,4.0,36,1000,Paid,399.99,Everyone,Finance,25-06-2018,1.0.2,4.1 and up,41.0
I Am Wizard,FAMILY,4.2,1493,100000,Free,0.0,Everyone,Strategy,01-04-2018,1.0.9,4.1 and up,57.0
What Am I? - Brain Teasers,GAME,4.2,4537,100000,Free,0.0,Everyone,Trivia,05-04-2017,2.2,4.0.3 and up,15.0
Who am I? (Biblical),GAME,4.5,5849,500000,Free,0.0,Everyone,Trivia,13-09-2017,1.2.2_comAds,4.0.3 and up,5.1
DWWW 774 Ultimate AM Radio,NEWS_AND_MAGAZINES,4.7,327,10000,Free,0.0,Everyone,News & Magazines,26-06-2018,4.0.9,4.1 and up,31.0
Anno: Build an Empire,FAMILY,3.5,33944,1000000,Free,0.0,Everyone 10+,Strategy,10-03-2016,2.0.0,4.1 and up,28.0
Vikings: an Archer's Journey,GAME,4.5,10256,1000000,Free,0.0,Everyone,Action,11-12-2017,2.1.0,4.3 and up,39.0
Trell: An app for Explorers | Best Wanderlust App,LIFESTYLE,4.6,8004,100000,Free,0.0,Teen,Lifestyle,31-07-2018,3.4.8,4.1 and up,34.0
My Emma :),FAMILY,4.1,245839,10000000,Free,0.0,Everyone,Casual,03-04-2017,2.7.0,4.1 and up,76.0
League of Gamers - Be an E-Sports Legend!,SPORTS,4.5,68072,5000000,Free,0.0,Everyone,Sports,26-07-2018,1.1.7,4.1 and up,40.0
Draw a Stickman: EPIC Free,GAME,4.2,210317,10000000,Free,0.0,Everyone 10+,Adventure,10-04-2015,1.4.3.104,2.3.3 and up,46.0
My Horse,FAMILY,4.5,1333338,10000000,Free,0.0,Everyone,Casual,23-05-2018,1.34.1,2.3.3 and up,8.7
My Boo - Your Virtual Pet Game,FAMILY,4.4,899748,10000000,Free,0.0,Everyone,Casual,03-08-2018,2.11,4.1 and up,80.0
Create apps fast with beautiful design and no code,BUSINESS,3.7,23729,1000000,Free,0.0,Everyone,Business,14-05-2018,7.2,4.4 and up,24.0
THE KING OF FIGHTERS-A 2012(F),GAME,4.4,406511,5000000,Free,0.0,Teen,Action,21-10-2016,1.0.5,4.0.3 and up,21.0
Diary with lock password,LIFESTYLE,4.3,179139,5000000,Free,0.0,Everyone,Lifestyle,01-11-2017,3.5.3,4.0.3 and up,9.7
Fast like a Fox,GAME,4.3,104389,5000000,Free,0.0,Everyone,Adventure,17-04-2018,1.4.0,4.2 and up,12.0
Girls Craft: Exploration,FAMILY,3.8,130689,5000000,Free,0.0,Everyone 10+,Simulation,03-08-2018,1.32,4.2 and up,57.0
The PCH App,LIFESTYLE,4.5,234971,1000000,Free,0.0,Everyone,Lifestyle,25-07-2018,2.8.7.78579,4.4 and up,81.0
"Resume Builder Free, 5 Minute CV Maker & Templates",BUSINESS,4.4,72202,1000000,Free,0.0,Everyone,Business,25-06-2018,6.0,4.0.3 and up,6.7
AO Surgery Reference,MEDICAL,4.7,2570,100000,Free,0.0,Everyone,Medical,10-05-2017,1.2.6,4.0 and up,3.8
ao,FAMILY,3.5,14145,1000000,Free,0.0,Everyone,Strategy,08-06-2016,1.0.9,4.0 and up,5.9
AO/OTA Fracture Classification,MEDICAL,4.9,25,5000,Free,0.0,Everyone,Medical,17-04-2018,1.0,5.0 and up,46.0
AO Player,EVENTS,4.0,9,1000,Free,0.0,Everyone,Events,20-12-2017,1.1.4,4.4 and up,3.3
Ao Oni2,GAME,4.1,21223,1000000,Free,0.0,Teen,Adventure,20-04-2018,1.6.6,4.1 and up,48.0
A. O. Smith,TOOLS,4.2,32,10000,Free,0.0,Everyone,Tools,21-05-2018,3.0.22,4.0 and up,33.0
Arena of Valor: 5v5 Arena Game,GAME,4.4,438911,10000000,Free,0.0,Teen,Action,28-06-2018,1.23.1.2,4.0.3 and up,99.0
PlacarTv Futebol Ao Vivo,COMMUNICATION,4.1,2063,100000,Free,0.0,Everyone,Communication,03-06-2018,1.0.3,4.0 and up,4.5
Virtual lover,FAMILY,4.6,45771,1000000,Free,0.0,Mature 17+,Entertainment,08-06-2018,1.39,4.1 and up,28.0
The Hunt for the Lost Treasure,FAMILY,4.6,7148,100000,Paid,2.99,Everyone,Adventure;Brain Games,13-09-2017,1.8,4.0.3 and up,8.1
Attack the Light,FAMILY,4.7,19209,100000,Paid,2.99,Everyone,Role Playing;Action & Adventure,23-02-2016,1.1.4,4.0 and up,21.0
Princess Closet : Otome games free dating sim,FAMILY,4.5,29495,1000000,Free,0.0,Teen,Simulation,24-05-2018,1.11.0,4.0.3 and up,56.0
PES 2018 PRO EVOLUTION SOCCER,SPORTS,4.4,1721943,10000000,Free,0.0,Everyone,Sports,27-06-2018,2.3.2,5.0 and up,26.0
Mobile Legends: Bang Bang,GAME,4.4,8219586,100000000,Free,0.0,Teen,Action,24-07-2018,1.2.97.3042,4.0.3 and up,99.0
Heroes of Order & Chaos,FAMILY,4.2,690148,10000000,Free,0.0,Teen,Strategy,27-10-2017,Varies with device,Varies with device,25.0
Kill Shot Bravo: Sniper FPS,GAME,4.4,579519,10000000,Free,0.0,Mature 17+,Action,18-07-2018,5.1,4.1 and up,99.0
Tennis Champion 3D - Online Sports Game,SPORTS,4.0,170973,5000000,Free,0.0,Everyone,Sports,06-06-2018,2.1,4.1 and up,43.0
Carnivores: Dinosaur Hunter,GAME,4.2,62636,1000000,Free,0.0,Teen,Action,02-07-2018,1.8.0,4.0.3 and up,17.0
High School Simulator 2017,FAMILY,4.2,123136,5000000,Free,0.0,Mature 17+,Simulation,25-06-2018,1.0,4.0 and up,80.0
Hopeless Land: Fight for Survival,GAME,4.2,250197,5000000,Free,0.0,Teen,Action,12-07-2018,1.0,4.1 and up,44.0
Scanning body and undressing people,FAMILY,3.4,1012,100000,Free,0.0,Teen,Entertainment,24-02-2018,2.0,3.0 and up,12.0
Ultimate Tennis,SPORTS,4.3,183004,10000000,Free,0.0,Everyone,Sports,19-07-2018,2.29.3118,4.0.3 and up,100.0
Legion of Heroes,FAMILY,4.3,143087,1000000,Free,0.0,Everyone 10+,Role Playing,12-07-2018,1.9.22,4.0 and up,69.0
Soccer Star 2018 Top Leagues · MLS Soccer Games,SPORTS,4.6,652940,10000000,Free,0.0,Teen,Sports,05-07-2018,1.3.5,4.1 and up,90.0
Heroes Arena,GAME,4.2,336386,10000000,Free,0.0,Everyone 10+,Action,24-07-2018,2.0.1,4.0.3 and up,88.0
virtual lover 3D,FAMILY,4.6,5195,100000,Free,0.0,Mature 17+,Entertainment,18-04-2018,1.3,4.1 and up,64.0
Range Master: Sniper Academy,SPORTS,4.1,91935,10000000,Free,0.0,Everyone,Sports,26-04-2018,2.1.3,4.1 and up,39.0
FC Barcelona Official App,SPORTS,4.6,92522,5000000,Free,0.0,Everyone,Sports,26-07-2018,4.0.14,4.1 and up,56.0
Can Your Pet? : Returns - Teen,FAMILY,4.3,45370,1000000,Free,0.0,Teen,Simulation,02-08-2018,2.59.8,2.3 and up,14.0
Bubbu – My Virtual Pet,FAMILY,4.7,394842,10000000,Free,0.0,Everyone,Casual;Pretend Play,04-08-2018,1.50,4.1 and up,75.0
3D Tennis,SPORTS,4.2,1008012,50000000,Free,0.0,Everyone,Sports,05-12-2017,1.7.7,2.1 and up,13.0
Start the Hunt for the Lost Treasure,FAMILY,3.8,302,10000,Free,0.0,Everyone,Puzzle;Brain Games,13-09-2017,1.4,4.0.3 and up,8.1
Scanning under clothes (prank),FAMILY,3.7,1443,100000,Free,0.0,Mature 17+,Entertainment,18-01-2018,3.0,2.3 and up,20.0
WGT Golf Game by Topgolf,SPORTS,4.3,148083,10000000,Free,0.0,Everyone,Sports,24-07-2018,1.42.2,4.1 and up,57.0
3D Holograms Joke,FAMILY,2.9,31596,5000000,Free,0.0,Teen,Simulation,23-12-2016,1.5,2.3 and up,31.0
Weaphones™ Gun Sim Free Vol 1,FAMILY,4.3,598975,10000000,Free,0.0,Everyone,Simulation,17-01-2018,2.4.0,4.0 and up,39.0
Hidden Objects Treasure Hunt Adventure Games,FAMILY,4.3,275,10000,Free,0.0,Everyone,Puzzle,09-07-2018,1.0.1,4.4 and up,29.0
Live Camera Viewer ★ World Webcam & IP Cam Streams,TRAVEL_AND_LOCAL,4.0,64164,10000000,Free,0.0,Everyone,Travel & Local,07-04-2018,1.9,4.1 and up,3.6
Body scanner (prank),FAMILY,3.3,16063,1000000,Free,0.0,Teen,Casual,02-06-2016,3.0,2.3 and up,3.8
AP ENPS Mobile,PRODUCTIVITY,4.1,22,5000,Free,0.0,Everyone,Productivity,08-03-2016,8.0.0130,4.4 and up,0.5322265625
AP® Guide,FAMILY,5.0,3,1000,Free,0.0,Everyone,Education,31-07-2017,1.3,4.0.3 and up,2.1
WiFi Access Point (hotspot),COMMUNICATION,3.9,684,100000,Free,0.0,Everyone,Communication,14-05-2015,1.1.2,2.3 and up,0.0595703125
AP Mobile,FAMILY,4.6,117,10000,Free,0.0,Everyone,Education,21-11-2017,1.03,6.0 and up,13.0
AP Manager,TOOLS,4.0,177,10000,Free,0.0,Everyone,Tools,04-05-2015,1.0.8,2.3 and up,2.8
AP App for Android™,NEWS_AND_MAGAZINES,3.6,188,10000,Free,0.0,Everyone,News & Magazines,12-05-2016,1.0,4.0 and up,9.9
Access Point Finder,LIFESTYLE,4.0,22,10000,Free,0.0,Everyone,Lifestyle,06-09-2016,1.0,3.0 and up,2.5
AP English Language: Practice Tests and Flashcards,FAMILY,4.5,19,5000,Free,0.0,Everyone,Education,03-07-2018,1.6.7.1,4.1 and up,5.4
AP Planner,FAMILY,2.9,45,5000,Free,0.0,Everyone,Education,03-08-2015,1.1,2.1 and up,1.3
Access Point Browser,TOOLS,4.2,25,1000,Free,0.0,Everyone,Tools,22-09-2017,3.11,4.3 and up,2.5
AP Installer,TOOLS,4.5,23,5000,Free,0.0,Everyone,Tools,20-07-2018,13,3.2 and up,0.2763671875
Study AP World History,FAMILY,4.6,513,10000,Free,0.0,Everyone,Education,18-07-2016,1.1.2,4.0.3 and up,1.6
UniFi,TOOLS,4.7,11018,500000,Free,0.0,Everyone,Tools,25-07-2018,1.7.0,4.1 and up,25.0
Ap Video Downloader for fb New 2018,TOOLS,4.2,676,100000,Free,0.0,Everyone,Tools,31-07-2018,3.0.188,4.0.3 and up,5.4
AP Government Review,FAMILY,4.7,3,1000,Paid,2.99,Everyone,Education,14-03-2017,1.1,4.0.3 and up,1.5
"ap,wifi testing,iperf,ping,android,Bluetooth,tcp",TOOLS,4.7,3,10,Paid,2.99,Everyone,Tools,27-05-2018,1.0.15,4.4 and up,5.3
HotSpot Tethering Free/WiFi AP,TOOLS,3.9,478,100000,Free,0.0,Everyone,Tools,12-09-2016,2.003,2.3 and up,2.0
AP Chemistry Prep: Practice Tests and Flashcards,FAMILY,4.7,55,10000,Free,0.0,Everyone,Education,03-07-2018,1.6.7.1,4.1 and up,5.4
AP Flashcards,FAMILY,3.7,88,10000,Free,0.0,Everyone,Education,30-08-2015,1.3.14,3.1 and up,41.0
AP World History: Practice Tests and Flashcards,FAMILY,4.8,21,5000,Free,0.0,Everyone,Education,03-07-2018,1.6.7.1,4.1 and up,5.4
Access Point Names,COMMUNICATION,4.0,138,10000,Free,0.0,Everyone,Communication,12-08-2014,1.0,2.3.3 and up,2.4
"AP Biology Prep: Practice Tests, Flashcards",FAMILY,4.6,87,10000,Free,0.0,Everyone,Education,03-07-2018,1.6.7.1,4.1 and up,5.4
AP Biology Study Guide + Quiz,FAMILY,4.4,105,10000,Free,0.0,Everyone,Education,22-03-2016,1.5.1,4.1 and up,9.0
500 AP World History Questions,FAMILY,4.7,7,100,Paid,9.99,Everyone,Education,01-11-2013,1.2,1.6 and up,1.2
AP Themes for Kustom/KLWP,PERSONALIZATION,3.6,5,500,Paid,1.49,Everyone,Personalization,01-09-2017,1.8.2,4.4 and up,45.0
AP Physics 1 Prep: Practice Tests and Flashcards,FAMILY,4.4,29,5000,Free,0.0,Everyone,Education,03-07-2018,1.6.7.1,4.1 and up,5.3
Fate GO Ap Counter,TOOLS,4.6,70,1000,Free,0.0,Everyone,Tools,19-01-2018,1.1.4,4.1 and up,3.2
iScore5 AP Psych,FAMILY,2.9,10,100,Paid,4.99,Everyone,Educational,25-04-2017,2.0,4.0.3 and up,73.0
AP Psychology Prep: Practice Tests and Flashcards,FAMILY,4.5,242,50000,Free,0.0,Everyone,Education,03-07-2018,1.6.7.1,4.1 and up,5.4
meStudying: AP English Lit,FAMILY,5.0,1,10,Paid,4.99,Everyone,Education,31-08-2013,1.3,2.0.1 and up,0.6396484375
APN Settings,TOOLS,3.7,3743,1000000,Free,0.0,Everyone,Tools,03-08-2018,6.4,4.1 and up,5.6
AP Math & Computer Science,FAMILY,3.7,37,5000,Free,0.0,Everyone,Education,19-07-2015,2.16,2.3 and up,9.5
AP Statistics Prep: Practice Tests and Flashcards,FAMILY,4.2,19,5000,Free,0.0,Everyone,Education,03-07-2018,1.6.7.1,4.1 and up,5.4
eChallan Andhra Pradesh (AP),SOCIAL,3.0,5,1000,Free,0.0,Teen,Social,15-02-2018,1.0.0.4,4.1 and up,2.6
AP Art History Flashcards,FAMILY,5.0,1,10,Paid,29.99,Mature 17+,Education,19-01-2016,3.30,4.0 and up,96.0
True Skate,SPORTS,4.4,129409,1000000,Paid,1.99,Everyone,Sports,04-08-2018,1.5.1,4.0.3 and up,73.0
AP European History: Practice Tests and Flashcards,FAMILY,4.7,7,1000,Free,0.0,Everyone,Education,03-07-2018,1.6.7.1,4.1 and up,5.4
AdventureQuest 3D MMO,FAMILY,4.3,22667,1000000,Free,0.0,Teen,Role Playing,26-07-2018,1.10.1,4.4 and up,35.0
AdventureQuest Dragons,FAMILY,3.9,10114,100000,Free,0.0,Everyone,Casual,13-06-2018,1.0.63,4.0 and up,48.0
Undead Assault,GAME,4.3,4704,100000,Free,0.0,Everyone 10+,Arcade,04-11-2015,1.4.6,2.3 and up,37.0
Adventure Quest World Mobile Quiz,FAMILY,4.6,28,500,Free,0.0,Everyone,Puzzle,16-01-2018,3.1.6z,4.0.3 and up,26.0
Aqw&3d Design Notes Manager,FAMILY,4.5,11,500,Free,0.0,Everyone,Entertainment,15-08-2017,3.0,4.0.3 and up,2.9
AQ Aspergers Test,MEDICAL,3.9,265,10000,Free,0.0,Everyone,Medical,14-10-2015,1.4.0,2.3.3 and up,0.697265625
Guess the Class 🔥 AQW,GAME,4.7,57,1000,Free,0.0,Everyone,Word,01-11-2017,1.0.0,4.1 and up,12.0
AQ Ria Retail,FAMILY,5.0,4,50,Free,0.0,Everyone,Education,03-04-2018,1.1,4.1 and up,52.0
Wowkwis aq Ka'qaquj,FAMILY,5.0,1,10,Free,0.0,Everyone,Education;Education,16-02-2018,1.0,4.0.3 and up,49.0
ClanHQ,COMMUNICATION,2.7,560,10000,Free,0.0,Everyone,Communication,25-07-2018,1.0.21,4.4 and up,37.0
QuickShortcutMaker,PERSONALIZATION,4.6,41000,1000000,Free,0.0,Everyone,Personalization,23-02-2014,2.4.0,1.6 and up,2.0
Iron Blade,GAME,4.4,161637,10000000,Free,0.0,Mature 17+,Action,18-07-2018,1.7.0m,4.0.3 and up,82.0
Dungeon Boss – Strategy RPG,FAMILY,4.4,218881,5000000,Free,0.0,Everyone 10+,Role Playing,28-03-2018,0.5.10011,4.0.3 and up,37.0
Questland: Turn Based RPG,FAMILY,4.6,31134,1000000,Free,0.0,Everyone 10+,Role Playing,02-08-2018,1.10.6,4.1 and up,48.0
Order & Chaos 2: 3D MMO RPG,FAMILY,4.1,242722,10000000,Free,0.0,Teen,Role Playing,09-07-2018,3.1.2b,4.0.3 and up,54.0
Dungeon Quest,FAMILY,4.5,244039,5000000,Free,0.0,Everyone 10+,Role Playing,04-06-2018,3.0.5.2,4.0 and up,46.0
Dungeon Hunter 5 – Action RPG,FAMILY,4.2,720685,10000000,Free,0.0,Teen,Role Playing,21-06-2018,3.6.1a,4.0.3 and up,51.0
"Grow Stone Online : 2d pixel RPG, MMORPG game",FAMILY,4.7,84389,1000000,Free,0.0,Everyone,Role Playing,05-08-2018,1.375,4.0.3 and up,48.0
Evil Apples: A Dirty Card Game,GAME,4.3,137696,5000000,Free,0.0,Mature 17+,Word,19-07-2018,2.3.3,4.2 and up,55.0
Knightfall™ AR,FAMILY,4.2,254,10000,Free,0.0,Teen,Strategy,17-03-2018,1.0,7.0 and up,25.0
Ghost Snap AR Horror Survival,GAME,3.8,898,100000,Free,0.0,Teen,Adventure,21-12-2016,1.2.3.1,2.3 and up,33.0
The Walking Dead: Our World,GAME,4.0,22435,1000000,Free,0.0,Teen,Action,01-08-2018,1.1.0.3,5.0 and up,100.0
Sketchfab,FAMILY,4.3,906,50000,Free,0.0,Mature 17+,Entertainment,09-03-2018,0.46.0,4.4 and up,9.2
Ingress,GAME,4.3,391325,10000000,Free,0.0,Everyone,Adventure,20-06-2018,1.131.2,4.0 and up,43.0
My Tamagotchi Forever,FAMILY,4.3,28735,1000000,Free,0.0,Everyone,Casual,01-08-2018,1.12.0.1654,4.2 and up,91.0
"Egg, Inc.",FAMILY,4.7,580160,5000000,Free,0.0,Everyone,Simulation,13-06-2018,1.7.5,4.0.3 and up,29.0
Flat Pack,GAME,4.4,862,100000,Free,0.0,Everyone 10+,Action,16-03-2018,1.0.4,7.0 and up,44.0
Crayola Color Blaster,GAME,3.8,17,1000,Free,0.0,Everyone,Arcade,13-03-2018,1.5,7.0 and up,30.0
Guns of Boom - Online Shooter,GAME,4.6,1226514,10000000,Free,0.0,Teen,Action,20-07-2018,4.4.4,4.1 and up,99.0
Guns Royale - Multiplayer Blocky Battle Royale,GAME,4.6,19070,100000,Free,0.0,Everyone 10+,Action,04-08-2018,1.0,Varies with device,90.0
Build.com - Shop Home Improvement & Expert Advice,HOUSE_AND_HOME,4.5,118,50000,Free,0.0,Everyone,House & Home,10-07-2018,3.7.1,5.0 and up,72.0
Wayfair - Shop All Things Home,SHOPPING,4.5,20247,5000000,Free,0.0,Everyone,Shopping,03-08-2018,4.70.30,4.1 and up,47.0
Stack It AR,GAME,3.8,1363,100000,Free,0.0,Everyone,Arcade,29-06-2018,1.1.4,4.0 and up,26.0
"ARuler - AR Ruler app, Measure tools",TOOLS,4.3,1602,100000,Free,0.0,Everyone,Tools,03-08-2018,1.1.7,7.0 and up,5.0
Monster Park AR - Jurassic Dinosaurs in Real World,FAMILY,3.7,128,10000,Free,0.0,Everyone,Entertainment,08-03-2018,1.2.2.122,7.0 and up,20.0
AR Remote Car,FAMILY,3.2,1354,100000,Free,0.0,Everyone,Simulation,12-08-2017,2.14,4.0 and up,30.0
Solar System AR ( ARCore ),FAMILY,4.0,211,10000,Free,0.0,Everyone,Entertainment,23-07-2018,0.8.6,7.0 and up,37.0
Super AR,FAMILY,3.8,410,10000,Free,0.0,Teen,Entertainment,18-12-2017,2.1,4.0 and up,28.0
Spacecraft AR,FAMILY,4.4,83,10000,Free,0.0,Everyone,Education,28-06-2018,1.2,7.0 and up,85.0
MCRAFT AR - EDITOR,FAMILY,3.4,131,5000,Free,0.0,Everyone,Simulation,24-06-2018,1.0,4.1 and up,22.0
Jenga® AR,FAMILY,2.9,53,10000,Free,0.0,Everyone,Puzzle,17-03-2018,1.0.1,7.0 and up,82.0
Nightenfell: Shared AR,GAME,4.5,20,1000,Paid,0.99,Everyone 10+,Action,27-03-2018,1.0.0,7.0 and up,65.0
Portal AR - Step Into Scotland,TRAVEL_AND_LOCAL,3.7,25,5000,Free,0.0,Everyone,Travel & Local,04-06-2018,1.4,7.0 and up,43.0
Arcraft - AR Sandbox,GAME,3.8,469,10000,Free,0.0,Everyone,Adventure,19-05-2017,1.4,4.0 and up,80.0
Augment - 3D Augmented Reality,BUSINESS,4.1,25195,1000000,Free,0.0,Everyone,Business,26-02-2018,v3.4.0-3,4.0.3 and up,21.0
Satellite AR,BOOKS_AND_REFERENCE,4.1,9636,1000000,Free,0.0,Everyone,Books & Reference,22-09-2011,2.4,2.1 and up,0.0908203125
Figment AR,FAMILY,3.7,22,5000,Free,0.0,Everyone,Entertainment,10-07-2018,1.0,7.0 and up,90.0
AR Tank Battle,GAME,3.6,153,10000,Free,0.0,Everyone,Action,31-12-2016,1.3,4.0 and up,67.0
Paint Space AR,FAMILY,3.0,17,1000,Free,0.0,Everyone,Entertainment,07-03-2018,1.1,7.0 and up,32.0
"Just a Line - Draw Anywhere, with AR",FAMILY,4.1,1152,100000,Free,0.0,Everyone,Entertainment,30-05-2018,2.0.0,7.0 and up,2.7
AR Toybox - Augmented Reality Demos,FAMILY,3.8,20,1000,Free,0.0,Everyone,Simulation,17-08-2017,1.0.2,4.1 and up,36.0
"Mind Map AR, Augmented Reality ARCore Mind Mapping",PRODUCTIVITY,4.2,29,5000,Free,0.0,Everyone,Productivity,26-07-2018,1.23,7.0 and up,35.0
【Miku AR Camera】Mikuture,FAMILY,4.4,36268,1000000,Free,0.0,Teen,Entertainment,25-04-2017,3.0.15,4.2 and up,41.0
Summer Camp Island AR,FAMILY,3.6,740,50000,Free,0.0,Everyone,Simulation,05-07-2018,1.0.2,4.4 and up,71.0
AR Sport Cars,FAMILY,3.6,284,10000,Free,0.0,Everyone,Simulation,10-06-2017,1.0,4.1 and up,70.0
AS - News and sports results.,SPORTS,3.7,20879,1000000,Free,0.0,Everyone,Sports,09-06-2018,5.1.13,4.1 and up,22.0
MARCA - Diario Líder Deportivo,SPORTS,3.9,76340,5000000,Free,0.0,Everyone,Sports,25-07-2018,6.3.3,4.1 and up,14.0
AS Guía de las Ligas 2017-2018,SPORTS,4.1,4374,100000,Free,0.0,Everyone,Sports,14-09-2017,1.0.10,4.1 and up,53.0
Sleep as Android Unlock,LIFESTYLE,4.5,23966,1000000,Paid,5.99,Everyone,Lifestyle,27-06-2018,20180608,4.0 and up,0.8515625
Sleep as Android Gear Addon,HEALTH_AND_FITNESS,2.8,961,100000,Free,0.0,Everyone,Health & Fitness,27-02-2018,1.5,4.0 and up,1.3
Sleep as Android Garmin Addon,HEALTH_AND_FITNESS,2.6,114,10000,Free,0.0,Everyone,Health & Fitness,20-06-2018,20180620,2.3 and up,1.6
Sonic the Hedgehog™ Classic,GAME,4.4,125652,10000000,Free,0.0,Everyone,Action,18-06-2018,3.3.0,4.2 and up,56.0
The Aether: Life as a God,FAMILY,4.1,1407,100000,Free,0.0,Everyone 10+,Role Playing,12-03-2018,1.0.5,4.0 and up,3.4
CAPTCHA Pack for Sleep as Android,LIFESTYLE,4.0,448,50000,Free,0.0,Everyone,Lifestyle,08-06-2018,1.3,2.3 and up,3.1
Pacific Navy Fighter C.E. (AS),GAME,4.3,11379,500000,Free,0.0,Everyone 10+,Arcade,29-07-2018,1.4,4.0.3 and up,20.0
Lullaby Add-on for Sleep as Android,HEALTH_AND_FITNESS,3.9,2057,50000,Paid,1.99,Everyone,Health & Fitness,18-10-2017,2.4,4.0 and up,6.2
Sleep as Microsoft Band Add-On,LIFESTYLE,3.5,28,1000,Free,0.0,Everyone,Lifestyle,23-01-2016,1.0.0.8,4.2 and up,0.1181640625
Ninja Turtles: Legends,FAMILY,4.3,344283,10000000,Free,0.0,Teen,Role Playing,18-12-2017,1.11.39,4.1 and up,95.0
Timely Alarm Clock,LIFESTYLE,4.3,258717,10000000,Free,0.0,Everyone,Lifestyle,25-09-2017,1.3.1,4.0.3 and up,9.4
My Boy! Free - GBA Emulator,GAME,4.3,531074,10000000,Free,0.0,Everyone,Arcade,09-01-2018,Varies with device,Varies with device,2.5
Samsung Health,HEALTH_AND_FITNESS,4.3,480208,500000000,Free,0.0,Everyone,Health & Fitness,31-07-2018,5.17.2.009,5.0 and up,70.0
WiFi Baby Monitor - NannyCam,VIDEO_PLAYERS,4.1,29867,5000000,Free,0.0,Everyone,Video Players & Editors,24-05-2017,3.1.0 (build 1210),2.3.3 and up,1.7
Maleficent Free Fall,FAMILY,4.4,450013,10000000,Free,0.0,Everyone,Puzzle,11-07-2018,5.9.0,4.2 and up,37.0
Star Wars™: Force Arena,FAMILY,4.4,228130,5000000,Free,0.0,Everyone 10+,Strategy,19-07-2018,3.1.4,4.1 and up,70.0
PS4 Second Screen,FAMILY,2.4,11773,1000000,Free,0.0,Everyone,Entertainment,13-06-2018,18.6.2,4.1 and up,3.3
Alarm Clock: Stopwatch & Timer,PRODUCTIVITY,4.5,870928,50000000,Free,0.0,Everyone,Productivity,08-06-2018,5.9.6,4.1 and up,16.0
SAMURAI vs ZOMBIES DEFENSE,GAME,4.5,407788,5000000,Free,0.0,Everyone,Action,18-07-2013,3.4.0,2.1 and up,19.0
Seen,FAMILY,4.5,118285,1000000,Free,0.0,Teen,Simulation,24-05-2018,1.2.1,4.1 and up,22.0
AT&T THANKS®,FAMILY,3.4,2445,500000,Free,0.0,Everyone,Entertainment,11-07-2018,1.4.0,5.0 and up,34.0
Galaxy at War Online,FAMILY,3.9,65119,1000000,Free,0.0,Everyone 10+,Strategy,22-05-2018,2.1.0,3.0 and up,46.0
Kingdoms at War: Hardcore PVP,FAMILY,4.3,34898,1000000,Free,0.0,Teen,Strategy,28-06-2018,4.05,4.0.3 and up,92.0
Five Nights at Freddy's 4 Demo,GAME,4.4,889425,10000000,Free,0.0,Teen,Action,26-07-2015,1.1,2.3 and up,45.0
Five Nights at Freddy's 3 Demo,GAME,4.5,1041836,10000000,Free,0.0,Teen,Action,02-04-2015,1.07,2.3 and up,50.0
Fandom: Five Nights at Freddys,FAMILY,4.4,17945,1000000,Free,0.0,Mature 17+,Entertainment,06-06-2018,2.9.8,4.4 and up,9.5
Nights at Cube Pizzeria 3D – 2,GAME,4.0,47151,5000000,Free,0.0,Everyone 10+,Action,26-12-2017,2.4.0,4.3 and up,36.0
World at War: WW2 Strategy MMO,FAMILY,4.3,107765,5000000,Free,0.0,Everyone 10+,Strategy,25-05-2018,3.1.9,4.1 and up,78.0
Five Tries At Love Dating Sim,FAMILY,4.2,37165,1000000,Free,0.0,Teen,Simulation,14-02-2018,5.1.0,2.3 and up,22.0
Rivals at War: 2084,FAMILY,4.0,174127,5000000,Free,0.0,Teen,Simulation,03-10-2016,1.3,3.0 and up,48.0
Multiple Videos at Same Time,VIDEO_PLAYERS,4.4,4706,1000000,Free,0.0,Everyone,Video Players & Editors,19-06-2018,Z (Special Edition R9),4.4 and up,1.5
Five Nights at Freddy's 2,FAMILY,4.6,73919,500000,Paid,2.99,Teen,Strategy,15-11-2014,1.07,2.3 and up,40.0
Coloring Book at Five Nights,FAMILY,4.0,532,100000,Free,0.0,Everyone,Educational,06-06-2017,1.6,2.3 and up,6.5
Rivals at War: Firefight,GAME,4.4,344819,5000000,Free,0.0,Teen,Action,18-10-2016,1.4,3.0 and up,51.0
